,Dataset,Layout,value
99,Emails,"(NMF,-,TSNE,+)",0.7
100,Emails,"(LDA,X,TSNE,+)",0.72
101,Emails,"(NMF,+,TSNE,+)",0.72
102,Emails,"(LSI,-,TSNE,+)",0.72
103,Emails,"(LSI,+,TSNE,+)",0.76
104,GitHub,"(VSM,+,MDS,X)",0.36
105,GitHub,"(LSI,-,MDS,-)",0.36
106,GitHub,"(LSI,+,MDS,-)",0.37
107,GitHub,"(NMF,+,MDS,-)",0.38
108,GitHub,"(VSM,-,MDS,X)",0.36
109,GitHub,"(NMF,-,MDS,-)",0.38
110,GitHub,"(LDA,X,MDS,-)",0.36
111,GitHub,"(NMF,-,MDS,+)",0.37
112,GitHub,"(LDA,X,MDS,+)",0.38
113,GitHub,"(NMF,+,MDS,+)",0.37
114,GitHub,"(LSI,-,MDS,+)",0.36
115,GitHub,"(LSI,+,MDS,+)",0.37
116,GitHub,"(VSM,+,SOM,X)",0.56
117,GitHub,"(LSI,-,SOM,-)",0.5
118,GitHub,"(LSI,+,SOM,-)",0.7
119,GitHub,"(NMF,+,SOM,-)",0.63
120,GitHub,"(VSM,-,SOM,X)",0.48
121,GitHub,"(NMF,-,SOM,-)",0.57
122,GitHub,"(LDA,X,SOM,-)",0.66
123,GitHub,"(NMF,-,SOM,+)",0.59
124,GitHub,"(LSI,-,SOM,+)",0.5
125,GitHub,"(LSI,+,SOM,+)",0.69
126,GitHub,"(VSM,+,UMAP,X)",0.44
127,GitHub,"(LSI,-,UMAP,-)",0.53
128,GitHub,"(LSI,+,UMAP,-)",0.71
129,GitHub,"(NMF,+,UMAP,-)",0.65
130,GitHub,"(VSM,-,UMAP,X)",0.57
131,GitHub,"(NMF,-,UMAP,-)",0.58
132,GitHub,"(LDA,X,UMAP,-)",0.67
133,GitHub,"(NMF,-,UMAP,+)",0.6
134,GitHub,"(LDA,X,UMAP,+)",0.67
135,GitHub,"(NMF,+,UMAP,+)",0.64
136,GitHub,"(LSI,-,UMAP,+)",0.53
137,GitHub,"(LSI,+,UMAP,+)",0.7
138,GitHub,"(VSM,+,TSNE,X)",0.71
139,GitHub,"(LSI,-,TSNE,-)",0.7
140,GitHub,"(LSI,+,TSNE,-)",0.75
141,GitHub,"(NMF,+,TSNE,-)",0.66
142,GitHub,"(VSM,-,TSNE,X)",0.71
143,GitHub,"(NMF,-,TSNE,-)",0.58
144,GitHub,"(LDA,X,TSNE,-)",0.69
145,GitHub,"(NMF,-,TSNE,+)",0.58
146,GitHub,"(LDA,X,TSNE,+)",0.68
147,GitHub,"(NMF,+,TSNE,+)",0.67
148,GitHub,"(LSI,-,TSNE,+)",0.7
149,GitHub,"(LSI,+,TSNE,+)",0.75
150,Reuters,"(VSM,+,MDS,X)",0.47
151,Reuters,"(LSI,-,MDS,-)",0.43
