Experiment,Trustworthiness,Continuity,Shephard Diagram Correlation,Normalized Stress,7-Neighborhood Hit,Calinski-Harabasz-Index,Silhouette coefficient,Davies-Bouldin-Index,SDBW validity index,Distance consistency,Complete List of Hyperparameters,DR,TM
seven_categories_bert_n_categories_7_mds,0.5074524393146868,0.5117519799248524,-0.0359177518071603,0.4216500473608967,0.3195669057517474,0.504024603457275,-0.0653093341192538,193.24472494366236,1.6963092888451343,0.1352734250079948,{'mds': {'max_iter': 420}},mds,bert
seven_categories_bert_n_categories_7_mds,0.514771503508981,0.5009092731907768,-0.2450955394983273,0.6355363725449835,0.3195669057517474,0.504024603457275,-0.0653093341192538,193.2447249436624,1.6963092888451343,0.1352734250079948,{'mds': {'max_iter': 880}},mds,bert
seven_categories_bert_n_categories_7_mds,0.514771503508981,0.5009092731907768,-0.2450955394983273,0.6355363725449835,0.3195669057517474,0.504024603457275,-0.0653093341192538,193.2447249436624,1.6963092888451343,0.1352734250079948,{'mds': {'max_iter': 800}},mds,bert
seven_categories_bert_n_categories_7_mds,0.514771503508981,0.5009092731907768,-0.2450955394983273,0.6355363725449835,0.3195669057517474,0.504024603457275,-0.0653093341192538,193.2447249436624,1.6963092888451343,0.1352734250079948,{'mds': {'max_iter': 500}},mds,bert
seven_categories_bert_n_categories_7_mds,0.5074524393146868,0.5117519799248524,-0.0359177518071603,0.4216500473608967,0.3195669057517474,0.504024603457275,-0.0653093341192538,193.24472494366236,1.6963092888451343,0.1352734250079948,{'mds': {'max_iter': 700}},mds,bert
seven_categories_bert_n_categories_7_mds,0.514771503508981,0.5009092731907768,-0.2450955394983273,0.6355363725449835,0.3195669057517474,0.504024603457275,-0.0653093341192538,193.2447249436624,1.6963092888451343,0.1352734250079948,{'mds': {'max_iter': 340}},mds,bert
seven_categories_bert_n_categories_7_mds,0.514771503508981,0.5009092731907768,-0.2450955394983262,0.6355363725449835,0.3195669057517474,0.504024603457275,-0.0653093341192538,193.2447249436624,1.6963092888451343,0.1352734250079948,{'mds': {'max_iter': 440}},mds,bert
seven_categories_bert_n_categories_7_mds,0.5074524393146868,0.5117519799248524,-0.0359177518071603,0.4216500473608967,0.3195669057517474,0.504024603457275,-0.0653093341192538,193.24472494366236,1.6963092888451343,0.1352734250079948,{'mds': {'max_iter': 840}},mds,bert
seven_categories_bert_n_categories_7_mds,0.514771503508981,0.5009092731907768,-0.2450955394983273,0.6355363725449835,0.3195669057517474,0.504024603457275,-0.0653093341192538,193.2447249436624,1.6963092888451343,0.1352734250079948,{'mds': {'max_iter': 360}},mds,bert
seven_categories_bert_n_categories_7_mds,0.514771503508981,0.5009092731907768,-0.2450955394983273,0.6355363725449835,0.3195669057517474,0.504024603457275,-0.0653093341192538,193.2447249436624,1.6963092888451343,0.1352734250079948,{'mds': {'max_iter': 680}},mds,bert
seven_categories_bert_n_categories_7_mds,0.5074524393146868,0.5117519799248524,-0.0359177518071603,0.4216500473608967,0.3195669057517474,0.504024603457275,-0.0653093341192538,193.24472494366236,1.6963092888451343,0.1352734250079948,{'mds': {'max_iter': 480}},mds,bert
seven_categories_bert_n_categories_7_mds,0.514771503508981,0.5009092731907768,-0.2450955394983273,0.6355363725449835,0.3195669057517474,0.504024603457275,-0.0653093341192538,193.2447249436624,1.6963092888451343,0.1352734250079948,{'mds': {'max_iter': 320}},mds,bert
seven_categories_bert_n_categories_7_mds,0.5074524393146868,0.5117519799248524,-0.0359177518071603,0.4216500473608967,0.3195669057517474,0.504024603457275,-0.0653093341192538,193.24472494366236,1.6963092888451343,0.1352734250079948,{'mds': {'max_iter': 820}},mds,bert
seven_categories_bert_n_categories_7_mds,0.514771503508981,0.5009092731907768,-0.2450955394983262,0.6355363725449835,0.3195669057517474,0.504024603457275,-0.0653093341192538,193.24472494366236,1.6963092888451343,0.1352734250079948,{'mds': {'max_iter': 380}},mds,bert
seven_categories_bert_n_categories_7_mds,0.5074524393146868,0.5117519799248524,-0.0359177518071603,0.4216500473608967,0.3195669057517474,0.504024603457275,-0.0653093341192538,193.24472494366236,1.6963092888451343,0.1352734250079948,{'mds': {'max_iter': 760}},mds,bert
seven_categories_bert_n_categories_7_mds,0.514771503508981,0.5009092731907768,-0.2450955394983262,0.6355363725449835,0.3195669057517474,0.504024603457275,-0.0653093341192538,193.2447249436624,1.6963092888451343,0.1352734250079948,{'mds': {'max_iter': 720}},mds,bert
seven_categories_bert_n_categories_7_mds,0.5074524393146868,0.5117519799248524,-0.0359177518071603,0.4216500473608967,0.3195669057517474,0.504024603457275,-0.0653093341192538,193.24472494366236,1.6963092888451343,0.1352734250079948,{'mds': {'max_iter': 400}},mds,bert
seven_categories_bert_n_categories_7_mds,0.5074524393146868,0.5117519799248524,-0.0359177518071603,0.4216500473608967,0.3195669057517474,0.504024603457275,-0.0653093341192538,193.24472494366236,1.6963092888451343,0.1352734250079948,{'mds': {'max_iter': 780}},mds,bert
seven_categories_bert_n_categories_7_mds,0.5074524393146868,0.5117519799248524,-0.0359177518071603,0.4216500473608967,0.3195669057517474,0.504024603457275,-0.0653093341192538,193.24472494366236,1.6963092888451343,0.1352734250079948,{'mds': {'max_iter': 620}},mds,bert
seven_categories_bert_n_categories_7_mds,0.5074524393146868,0.5117519799248524,-0.0359177518071603,0.4216500473608967,0.3195669057517474,0.504024603457275,-0.0653093341192538,193.24472494366236,1.6963092888451343,0.1352734250079948,{'mds': {'max_iter': 860}},mds,bert
