Experiment,Trustworthiness,Continuity,Shephard Diagram Correlation,Normalized Stress,7-Neighborhood Hit,Calinski-Harabasz-Index,Silhouette coefficient,Davies-Bouldin-Index,SDBW validity index,Distance consistency,Complete List of Hyperparameters,DR,TM
emails_bert_n_categories_4_mds,0.5433969030483448,0.498714438892246,-0.3136034588628061,1.1782861653461936,0.4295906047634726,1.016993938945046,-0.0376174087264263,268.96151696119057,1.885955622234884,0.2213807485457139,{'mds': {'max_iter': 720}},mds,bert
emails_bert_n_categories_4_mds,0.5082800527318143,0.5092721117726997,-0.0126778257423791,2.14448959716629,0.4295906047634726,1.016993938945046,-0.0376174087264263,268.96151696119057,1.885955622234884,0.2213807485457139,{'mds': {'max_iter': 580}},mds,bert
emails_bert_n_categories_4_mds,0.5433969030483448,0.498714438892246,-0.313603458862792,1.1782861653461936,0.4295906047634726,1.016993938945046,-0.0376174087264263,268.96151696119057,1.885955622234884,0.2213807485457139,{'mds': {'max_iter': 780}},mds,bert
emails_bert_n_categories_4_mds,0.5082800527318143,0.5092721117726997,-0.0126778257423791,2.14448959716629,0.4295906047634726,1.016993938945046,-0.0376174087264263,268.96151696119057,1.885955622234884,0.2213807485457139,{'mds': {'max_iter': 360}},mds,bert
emails_bert_n_categories_4_mds,0.5433969030483448,0.498714438892246,-0.313603458862792,1.1782861653461936,0.4295906047634726,1.016993938945046,-0.0376174087264263,268.96151696119057,1.885955622234884,0.2213807485457139,{'mds': {'max_iter': 640}},mds,bert
emails_bert_n_categories_4_mds,0.5433969030483448,0.498714438892246,-0.3136034588628061,1.1782861653461936,0.4295906047634726,1.016993938945046,-0.0376174087264263,268.96151696119057,1.885955622234884,0.2213807485457139,{'mds': {'max_iter': 840}},mds,bert
emails_bert_n_categories_4_mds,0.5433969030483448,0.498714438892246,-0.3136034588628061,1.1782861653461936,0.4295906047634726,1.016993938945046,-0.0376174087264263,268.96151696119057,1.885955622234884,0.2213807485457139,{'mds': {'max_iter': 680}},mds,bert
emails_bert_n_categories_4_mds,0.5433969030483448,0.498714438892246,-0.313603458862792,1.1782861653461936,0.4295906047634726,1.016993938945046,-0.0376174087264263,268.96151696119057,1.885955622234884,0.2213807485457139,{'mds': {'max_iter': 540}},mds,bert
emails_bert_n_categories_4_mds,0.5433969030483448,0.498714438892246,-0.3136034588628061,1.1782861653461936,0.4295906047634726,1.016993938945046,-0.0376174087264263,268.96151696119057,1.885955622234884,0.2213807485457139,{'mds': {'max_iter': 440}},mds,bert
emails_bert_n_categories_4_mds,0.5433969030483448,0.498714438892246,-0.313603458862792,1.1782861653461936,0.4295906047634726,1.016993938945046,-0.0376174087264263,268.96151696119057,1.885955622234884,0.2213807485457139,{'mds': {'max_iter': 520}},mds,bert
emails_bert_n_categories_4_mds,0.5433969030483448,0.498714438892246,-0.313603458862792,1.1782861653461936,0.4295906047634726,1.016993938945046,-0.0376174087264263,268.96151696119057,1.885955622234884,0.2213807485457139,{'mds': {'max_iter': 500}},mds,bert
emails_bert_n_categories_4_mds,0.5433969030483448,0.498714438892246,-0.3136034588628061,1.1782861653461936,0.4295906047634726,1.016993938945046,-0.0376174087264263,268.96151696119057,1.885955622234884,0.2213807485457139,{'mds': {'max_iter': 320}},mds,bert
emails_bert_n_categories_4_mds,0.5433969030483448,0.498714438892246,-0.3136034588628061,1.1782861653461936,0.4295906047634726,1.016993938945046,-0.0376174087264263,268.96151696119057,1.885955622234884,0.2213807485457139,{'mds': {'max_iter': 800}},mds,bert
emails_bert_n_categories_4_mds,0.5433969030483448,0.498714438892246,-0.3136034588628061,1.1782861653461936,0.4295906047634726,1.016993938945046,-0.0376174087264263,268.96151696119057,1.885955622234884,0.2213807485457139,{'mds': {'max_iter': 420}},mds,bert
emails_bert_n_categories_4_mds,0.5082800527318143,0.5092721117726997,-0.0126778257423791,2.14448959716629,0.4295906047634726,1.016993938945046,-0.0376174087264263,268.96151696119057,1.885955622234884,0.2213807485457139,{'mds': {'max_iter': 380}},mds,bert
emails_bert_n_categories_4_mds,0.5433969030483448,0.498714438892246,-0.313603458862792,1.1782861653461936,0.4295906047634726,1.016993938945046,-0.0376174087264263,268.96151696119057,1.885955622234884,0.2213807485457139,{'mds': {'max_iter': 820}},mds,bert
emails_bert_n_categories_4_mds,0.5082800527318143,0.5092721117726997,-0.0126778257423791,2.14448959716629,0.4295906047634726,1.016993938945046,-0.0376174087264263,268.96151696119057,1.885955622234884,0.2213807485457139,{'mds': {'max_iter': 740}},mds,bert
emails_bert_n_categories_4_mds,0.5433969030483448,0.498714438892246,-0.313603458862792,1.1782861653461936,0.4295906047634726,1.016993938945046,-0.0376174087264263,268.96151696119057,1.885955622234884,0.2213807485457139,{'mds': {'max_iter': 480}},mds,bert
emails_bert_n_categories_4_mds,0.5082800527318143,0.5092721117726997,-0.0126778257423791,2.14448959716629,0.4295906047634726,1.016993938945046,-0.0376174087264263,268.96151696119057,1.885955622234884,0.2213807485457139,{'mds': {'max_iter': 400}},mds,bert
emails_bert_n_categories_4_mds,0.5433969030483448,0.498714438892246,-0.3136034588628061,1.1782861653461936,0.4295906047634726,1.016993938945046,-0.0376174087264263,268.96151696119057,1.885955622234884,0.2213807485457139,{'mds': {'max_iter': 620}},mds,bert
emails_bert_n_categories_4_mds,0.5433969030483448,0.498714438892246,-0.3136034588628061,1.1782861653461936,0.4295906047634726,1.016993938945046,-0.0376174087264263,268.96151696119057,1.885955622234884,0.2213807485457139,{'mds': {'max_iter': 700}},mds,bert
